id,category,platform,pageName,utmSource,utmMediums
1,General,Unknown,Unknown,social,"{ES_main_pageSocial}"
2,COMBAT,Facebook,Boxing News and Memes,fb,"{boxing_fan_page_boxinglegendsrewind}"
3,COMBAT,Facebook,ES Boxing,fb,"{boxing_fan_page_es}"
4,COMBAT,Facebook,Boxing News and Memes,fb,"{boxing_fan_page_trending}"
5,NFL,Facebook,Dawg Pound,fb,"{browns_fanpage}"
6,CFB,Facebook,Buckeye Football Ledger,fb,"{cfb_fan_page_ohio}"
7,General,Facebook,EssentiallySports,fb,"{fan_page}"
8,GOLF,Facebook,UK Golf Central,fb,"{gold_fan_page_rory}"
9,GOLF,Facebook,ES Golf,fb,"{golf_fan_page_trending}"
10,MLB,Facebook,The Captain's Corner,fb,"{mlb_fan_page_derekjete}"
11,MLB,Facebook,The Captain's Corner,fb,"{mlb_fan_page_derekjeter-}"
12,MLB,Facebook,Essentiallysports MLB,fb,"{mlb_fan_page_es}"
13,MLB,Facebook,Essentiallysports MLB,fb,"{mlb_fan_page_es-baseball-news-prayers-pour-in-as-dodgers-miguel-rojas-announces-huge-personal-loss-amid-blue-jays-series/}"
14,General,Email,Unknown,email,"{nb_newsletter}"
15,NBA,Facebook,Basketball Retro,fb,"{nba_fan_page_bigshaqhave-the-snitch-kendrick-perkins-catches-heat-for-outing-major-nba-secret-over-load-management/}"
16,NBA,Facebook,Bay Area Hoops,fb,"{nba_fan_page_kicks}"
17,NBA,Facebook,Jumpman Chronicles,fb,"{nba_fan_page_mj}"
18,NBA,Facebook,Essentially Dunk,fb,"{nba_fan_page_sgg}"
19,NBA,Facebook,Purple & Gold,fb,"{nba_fanpage_purple_gold}"
20,NBA,Facebook,Kobe 825 Legacy,fb,"{nba_kobe_fanpage}"
21,General,Email,Unknown,email,"{newsletter}"
22,NFL,Facebook,Cowboys Fan Station,fb,"{nfl_fan_page_cowboys}"
23,NFL,Facebook,Dawg Pound,fb,"{nfl_fan_page_dawg_pound}"
24,CFB,Facebook,4th down frenzy (LSU),fb,"{nfl_fan_page_down_frenzy}"
25,NFL,Facebook,Trending,fb,"{nfl_fan_page_t}"
26,NFL,Facebook,Arrowhead Army,fb,"{nfl_fan_page_travistaylor}"
27,NFL,Facebook,Trending,fb,"{nfl_fan_page_trending}"
28,General,Unknown,Unknown,organic,"{organic}"
29,General,Unknown,Unknown,referral,"{referral}"
30,General,Unknown,Unknown,social,"{social}"
31,Tennis,Facebook,Deuce Court Daily,fb,"{tennis_deuce_court_daily_fan_page}"
32,COMBAT,Facebook,MMA Archives,fb,"{ufc_fan_page_memes}"
33,COMBAT,Facebook,MMA Archives,fb,"{ufc_fan_page_trending}"
34,COMBAT,Facebook,On the Ropes,fb,"{wwe_fan_page_prowrestling}"
